99Liu_Si [wt%] LIQUID+AL13FE4+ALFESI_ALPHA,99Liu_Fe [wt%] LIQUID+AL13FE4+ALFESI_ALPHA,99Liu_Si [wt%] LIQUID+ALFESI_ALPHA+FCC_A1,99Liu_Fe [wt%] LIQUID+ALFESI_ALPHA+FCC_A1,99Liu_Si [wt%] LIQUID+FCC_A1+ALFESI_BETA,99Liu_Fe [wt%] LIQUID+FCC_A1+ALFESI_BETA,99Liu_Si [wt%] LIQUID+ALFESI_BETA+DIAMOND_A4,99Liu_Fe [wt%] LIQUID+ALFESI_BETA+DIAMOND_A4,99Liu_Si [wt%] LIQUID+ALFESI_BETA+ALFESI_ALPHA,99Liu_Fe [wt%] LIQUID+ALFESI_BETA+ALFESI_ALPHA,99Liu_Si [wt%] LIQUID+FCC_A1+DIAMOND_A4,99Liu_Fe [wt%] LIQUID+FCC_A1+DIAMOND_A4,99Liu_Si [wt%]LIQUID+AL13FE4+FCC_A1,99Liu_Fe [wt%] LIQUID+AL13FE4+FCC_A1,NucleoScheil_Si [wt%],NucleoScheil_Fe [wt%],Scheil1_Si [wt%],Scheil1_Fe [wt%]
10.00045588,5.995811856,4.092434502,2.106159739,6.561998859,1.762022495,12.72750301,0.731549473,11.38854547,4.544506424,12.72750301,0.731549473,4.092434502,2.106159739,7.000115851,2.499996868,7.000115851,2.499996868
8.864940573,5.168671609,4.205140504,2.087022349,6.682030614,1.729726927,12.81706299,0.75454719,10.19293742,3.808269163,12.70841346,0.584369144,3.993320842,2.09958887,7.000115851,2.499996868,7.000115851,2.499996868
7.703935523,4.359292456,4.317601585,2.068368645,6.802062947,1.698227335,12.90632441,0.778013318,8.976508041,3.083974124,12.6890984,0.437305867,3.894207892,2.092987946,6.937420264,2.292018023,6.999978896,2.498335395
6.515794714,3.571442035,4.5418454,2.032400374,7.042128016,1.637490706,13.08394468,0.826357881,7.734704395,2.380418551,12.64979232,0.143530606,3.695982902,2.079697888,6.93620688,2.287992894,6.999552827,2.493168262
5.298354881,2.810084698,4.987952052,1.965160309,7.522251099,1.524283613,13.43553173,0.928736583,7.102267758,2.040410438,12.63982508,0.070159981,3.299528064,2.05277859,6.934994823,2.283973101,6.999269053,2.489727619
4.677799944,2.441299618,5.872631646,1.845507494,8.482408357,1.325793244,14.12381975,1.156443082,6.782698628,1.874286645,12.63482036,0.033485668,2.506531729,1.997692798,6.933784159,2.279958639,6.99898552,2.486290664
4.364389213,2.260287247,6.312026549,1.791456534,10.40197741,1.011798048,15.43973937,1.703320626,6.622005397,1.792338658,12.63231273,0.015151252,0.919669129,1.883406568,6.932574886,2.275949507,6.99870221,2.482857171
4.206876965,2.170681757,6.531120169,1.7656105,12.31997498,0.774559716,16.67500397,2.367605174,6.581733654,1.771975395,12.6310576,0.00598473,0.125515369,1.82470111,6.931367037,2.271945698,6.998419119,2.479427085
4.127916105,2.126111378,6.558480772,1.762430622,12.55958568,0.748995174,17.83213069,3.140363237,6.571659469,1.766892512,12.6304297,0.001401642,0.026202188,1.817307573,6.930160809,2.267947188,6.99813626,2.476000567
4.10815442,2.114993332,6.561998859,1.762022495,12.67937827,0.736510563,18.91473854,4.011342344,6.566621433,1.764352272,12.63023763,0,0.001372246,1.815457485,6.928956194,2.263953976,6.997853614,2.4725774
4.098270343,2.109438024,,,12.70932508,0.733419767,,,6.56410218,1.763082452,,,0.0005963,1.815399658,6.92775295,2.25996608,6.997571202,2.469157795
4.093327497,2.106661296,,,12.72429827,0.731878883,,,6.562842494,1.762447617,,,0.000208326,1.815370746,6.926551108,2.255983493,6.997289007,2.465741591
4.092434502,2.106159739,,,12.72750301,0.731549473,,,6.561998859,1.762022495,,,0,1.815355209,6.925350667,2.252006211,6.997007032,2.462328789
,,,,,,,,,,,,,,6.924151841,2.248034211,6.996725283,2.45891949
,,,,,,,,,,,,,,6.922954198,2.244067528,6.996443763,2.455513692
,,,,,,,,,,,,,,6.921758159,2.240106121,6.996162461,2.452111291
,,,,,,,,,,,,,,6.920563509,2.236150005,6.995881377,2.448712285
,,,,,,,,,,,,,,6.919370504,2.232199153,6.995600526,2.445316825
,,,,,,,,,,,,,,6.918178875,2.228253586,6.995319889,2.441924709
,,,,,,,,,,,,,,6.916988856,2.224313279,6.995039483,2.438536133
,,,,,,,,,,,,,,6.915800212,2.220378249,6.994759296,2.435150947
,,,,,,,,,,,,,,6.914612957,2.216448491,6.994479333,2.4317692
,,,,,,,,,,,,,,6.913427325,2.21252398,6.994199588,2.428390841
,,,,,,,,,,,,,,6.912243081,2.208604733,6.993920074,2.425016013
,,,,,,,,,,,,,,6.91105998,2.204690769,6.993640779,2.42164457
,,,,,,,,,,,,,,6.909878732,2.20078202,6.993361708,2.41827656
,,,,,,,,,,,,,,6.908698618,2.196878547,6.993082859,2.414911979
,,,,,,,,,,,,,,6.907519893,2.192980323,6.992804229,2.411550781
,,,,,,,,,,,,,,6.906342785,2.189087324,6.992525851,2.408193288
,,,,,,,,,,,,,,6.905167041,2.185199568,6.992247676,2.404838986
,,,,,,,,,,,,,,6.903992925,2.181317029,6.991969725,2.401488108
,,,,,,,,,,,,,,6.902820188,2.177439724,6.991691996,2.398140651
,,,,,,,,,,,,,,6.901648819,2.17356765,6.99141449,2.394796615
,,,,,,,,,,,,,,6.900479059,2.169700783,6.991137207,2.391455997
,,,,,,,,,,,,,,6.899310657,2.165839141,6.990860147,2.388118796
,,,,,,,,,,,,,,6.898143619,2.16198272,6.99058331,2.38478501
,,,,,,,,,,,,,,6.896977969,2.158131513,6.990306695,2.381454637
,,,,,,,,,,,,,,6.895813899,2.154285499,6.990030304,2.378127677
,,,,,,,,,,,,,,6.894651241,2.15044469,6.989754135,2.374804126
,,,,,,,,,,,,,,6.893489933,2.146609088,6.989478189,2.371483984
,,,,,,,,,,,,,,6.892330008,2.142778685,6.989202446,2.368167077
,,,,,,,,,,,,,,6.891171659,2.13895346,6.98892694,2.364853748
,,,,,,,,,,,,,,6.890014901,2.135133409,6.988651653,2.361543782
,,,,,,,,,,,,,,6.888859279,2.131318568,6.988376593,2.358237259
,,,,,,,,,,,,,,6.887705262,2.127508891,6.988101778,2.354934342
,,,,,,,,,,,,,,6.886552606,2.123704396,6.987827168,2.351634616
,,,,,,,,,,,,,,6.885401334,2.119905077,6.987552781,2.348338287
,,,,,,,,,,,,,,6.884251411,2.116110933,6.987278617,2.345045353
,,,,,,,,,,,,,,6.883103098,2.112321938,6.987004675,2.341755813
,,,,,,,,,,,,,,6.881956131,2.108538111,6.986730956,2.338469665
,,,,,,,,,,,,,,6.880810755,2.104759427,6.98645746,2.335186906
,,,,,,,,,,,,,,6.879666723,2.100985903,6.986184186,2.331907537
,,,,,,,,,,,,,,6.87852406,2.097217533,6.985911135,2.328631554
,,,,,,,,,,,,,,6.877382992,2.093454294,6.985638307,2.325358956
,,,,,,,,,,,,,,6.876243249,2.089696205,6.985365701,2.322089741
,,,,,,,,,,,,,,6.875104886,2.085943257,6.985093318,2.318823909
,,,,,,,,,,,,,,6.873968115,2.082195429,6.984821139,2.315561303
,,,,,,,,,,,,,,6.872832664,2.07845274,6.984549192,2.312302195
,,,,,,,,,,,,,,6.871698592,2.07471518,6.984277471,2.309046498
,,,,,,,,,,,,,,6.870565863,2.07098275,6.984005972,2.305794177
,,,,,,,,,,,,,,6.869434729,2.067255423,6.983734696,2.302545229
,,,,,,,,,,,,,,6.868304927,2.063533219,6.983463645,2.299299687
,,,,,,,,,,,,,,6.867176474,2.059816131,6.983192811,2.296057447
,,,,,,,,,,,,,,6.866049383,2.056104155,6.982922205,2.292818642
,,,,,,,,,,,,,,6.864923858,2.05239727,6.982651816,2.289583137
,,,,,,,,,,,,,,6.863799686,2.04869549,6.982381655,2.286351064
,,,,,,,,,,,,,,6.862676848,2.044998812,6.98211171,2.283122288
,,,,,,,,,,,,,,6.861555596,2.041307211,6.981841991,2.279896906
,,,,,,,,,,,,,,6.860435702,2.037620703,6.981572514,2.276675056
,,,,,,,,,,,,,,6.859317368,2.033939266,6.981303244,2.273456391
